ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1	2	387.3681998	29.35005792	23.31014435	16.03052033	22.98316631	30.69117179	7.669796595	5.783862186	7.791188263	21.12926834	21.37772901	30.90646393	16.96346834	-0.00933	0.02054	-0.0048	-0.00072	-0.01923	-0.0279	-0.00796	0.03112	-0.01109	0.02021
2	1	384.8173362	30.89029324	22.81012178	14.87175236	23.02411206	30.47499914	10.87661055	5.643750082	8.783243374	21.80245238	17.56341901	30.50408978	19.03370977	-0.04368	-0.01636	-0.0311	0.02174	-0.02363	0.04285	-0.01465	0.01066	-0.00071	-0.00849
3	1	416.9463019	29.37690702	22.89839313	15.50611347	23.58588293	30.43724734	11.5599167	5.878792991	8.337907624	20.12687515	17.81369969	31.97746565	19.84190582	-0.02228	-0.00597	0.00513	0.03484	-0.00155	0.03973	-0.01736	-0.02572	0.00406	0.02412
4	1	407.5452639	30.23428674	23.77823794	18.6226295	23.0662796	31.38881884	6.461658221	6.192227224	6.369440218	19.21314324	20.81789181	30.31500781	17.28878735	0.00102	0.04742	0.0043	-0.0008	-0.0087	-0.00942	-0.02371	-0.00432	0.00504	0.03167
5	2	400.1064362	30.21829664	22.80453607	15.78813949	23.76989106	30.52739983	8.960556871	5.449149739	7.786762559	19.9663251	18.56637984	29.93220298	17.55727425	-0.01768	-0.01314	0.02247	-0.00458	0.0103	-0.01884	-0.00888	-0.01821	0.00086	0.01872
6	1	421.6397116	30.51045574	23.92799113	15.1633614	25.19144422	32.80116836	11.47956911	7.035867517	9.052033388	18.10546394	19.51034294	32.35720435	21.57507782	0.01736	-0.00412	0.04476	0.05474	0.03641	-0.00419	0.01281	-0.01973	0.01528	-0.00766
7	2	384.1557971	29.04062591	21.70742343	16.81504567	25.74567846	32.45897769	10.54435955	8.401385256	7.299453125	19.98910526	17.42432158	28.34196341	18.47507975	0.0227	-0.01113	0.04748	-0.00739	-0.01908	-0.02131	0.00694	-0.02288	0.00608	0.01387
8	2	403.1519769	30.36172877	23.88687043	16.21737878	23.54978708	31.5113104	10.59688879	7.554045294	6.791418059	18.27009731	21.90725007	32.66849146	19.06165086	0.02588	0.0058	-0.00786	0.02712	0.03276	-0.00317	0.03228	-0.03485	-0.0154	0.00876
9	1	432.9132681	29.5960128	21.90432808	16.25887391	25.15973231	30.85211201	9.807575504	7.128460128	7.147098532	19.65179126	19.09553677	30.46588866	16.64767399	-0.00812	0.00398	0.01921	-0.01035	-0.01072	-0.0071	0.01297	0.00817	-0.01481	0.00689
10	1	399.3172876	29.37129328	23.38883649	15.36833025	23.13246667	30.94965198	13.85893108	6.060155457	5.978253353	19.23158276	18.90412466	29.34270287	17.97332842	0.00183	-0.01885	0.01953	0.00422	-0.01353	0.02354	0.0105	0.02354	-0.01212	-0.03139
